Nombre de Propiedad,Etiqueta,Tipo,Grupo,Descripción
hs_feedback_last_csat_survey_follow_up,Last CSAT survey comment,string,contact_activity,Last CSAT survey comment from this contact.
hs_feedback_last_csat_survey_rating,Last CSAT survey rating,number,contact_activity,Last CSAT survey rating from this contact.
hs_feedback_last_nps_follow_up,Last NPS survey comment,string,contact_activity,Last NPS survey comment that this contact gave
hs_feedback_last_nps_rating,Last NPS survey rating,enumeration,contact_activity,Last NPS survey rating that this contact gave
hs_feedback_last_survey_date,Last NPS survey date,datetime,contact_activity,The time that this contact last submitted a NPS survey response. This is automatically set by HubSpot.
hs_feedback_show_nps_web_survey,Should be shown an NPS web survey,bool,contactinformation,Whether or not a contact should be shown an NPS web survey. This is automatically set by HubSpot.
hs_first_closed_order_id,First Closed Order ID,number,order_information,The id of the associated order that was first to be closed
hs_first_engagement_object_id,ID of first engagement,number,contactinformation,The object id of the current contact owner's first engagement with the contact.
hs_first_order_closed_date,First Order Closed Date,datetime,order_information,Date first order was closed. Set Automatically
hs_first_outreach_date,First outreach date,datetime,contactinformation,"The date of the first outreach (call, email, meeting or other communication) from a sales rep to the contact."
hs_first_subscription_create_date,First subscription create date,datetime,contactinformation,The create date of the first subscription by the contact.
hs_full_name_or_email,Full name or email,string,contactinformation,"A contact's full name, formatting first name and last name by I18n/utils/formatName, fall back to email."
hs_google_click_id,Google ad click id,string,conversioninformation,
hs_googleplusid,googleplus ID,string,socialmediainformation,A contact's googleplus id
hs_has_active_subscription,Contact has an active subscription,number,contactinformation,The rollup property value is 1 when the contact has an active Subscription or 0 otherwise.
hs_ip_timezone,IP Timezone,string,conversioninformation,The timezone reported by a contact's IP address. This is automatically set by HubSpot and can be used for segmentation and reporting.
hs_is_contact,Is a contact,bool,contactinformation,"Is a contact, has not been deleted and is not a visitor"
hs_is_enriched,Has been enriched,bool,contactinformation,Indicates whether this object has ever had enriched properties written to it.
hs_is_unworked,Contact unworked,bool,sales_properties,Contact  has  not  been  assigned  or  has  not  been  engaged  after  last  owner  assignment/re-assignment
hs_job_change_detected_date,Job change detected date,date,emailinformation,Date contact confirmed no longer employed at current company
